,Tweet,Date,Label
0,yes now set final great south african tennis player roger federer cotlhttcoq,"Yes, @KAndersonATP! Now to set up a final with that other great South African tennis player, Roger Federer. #Usopen https://t.co/T1lhtt7CoQ",1
1,well done kevin anderson one match final hope anderson federer final,"Well done to Kevin Anderson, one more match to the finals hope it's a Anderson v Federer final! 🇿🇦 v 🇨🇭🇿🇦 #USOpen  🎾",1
2,rt it blockbuster roger take juan martin qfs wednesday night,RT @livetennis: It's a #USOpen blockbuster as Roger #Federer takes on Juan Martin #delPotro in the QFs on Wednesday night.,0
3,kevin anderson guy besides roger federer may win far im concerned,Kevin Anderson is the only other guy besides Roger Federer that may win the #USOpen as far as I'm concerned,0
4,just note piece ready rafa roger say roger need victory thiem delpo go crazy,#USOpen  Just a note: on the piece Ready for Rafa-Roger. you say Roger needs a victory over Thiem before ... Delpo will go crazy about it 😬,0
5,rt it blockbuster roger take juan martin qfs wednesday night,RT @livetennis: It's a #USOpen blockbuster as Roger #Federer takes on Juan Martin #delPotro in the QFs on Wednesday night.,0
6,so far year roger federer faced breakpoints playing juan martin del potro he broken time,"So far this year, Roger Federer faced 5 breakpoints playing against Juan Martin del Potro. He was broken 0 times. #usopen",0
7,federer avenge previous defeat,🎾 Federer out to avenge his previous defeat vs #DelPotro!,0
8,rt quarterfinal preview federer take del potro nadal face year old andrey rublev,"RT @Tennis: #USOpen Quarterfinal Previews: Federer takes on del Potro, Nadal faces 19-year-old Andrey Rublev.",1
9,federer lifetime del potro roger winning straight set here cophapxlvky,Federer is 15-6 lifetime against Del Potro. I have Roger winning in straight sets. Here's why: https://t.co/P2haPxLvKY #USOpen,0
10,nadal federer semi final pick weekend closely followed,Nadal vs Federer semi final is the pick for this weekend closely followed by #MCILIV #supersaturday #USOpen #EPL,1
11,no fedal sf feel del potro win qf federer got history,No fedal Sf in the #USOpen as I feel Del Potro will win QF against Federer... they got a history!,1
12,rt it blockbuster roger take juan martin qfs wednesday night,RT @livetennis: It's a #USOpen blockbuster as Roger #Federer takes on Juan Martin #delPotro in the QFs on Wednesday night.,0
13,rt federer play del potro quarter,RT @cnnsport: Federer plays del Potro in the #USOpen quarters.,0
14,rt it blockbuster roger take juan martin qfs wednesday night,RT @livetennis: It's a #USOpen blockbuster as Roger #Federer takes on Juan Martin #delPotro in the QFs on Wednesday night.,0
