,Sentence,Class
0,top engaged member community week,1
1,hey james how odd please call contact centre able assist many thanks,1
2,listen last night you bleed amazing track when scotland,1
3,yeaaaah yippppy accnt verified rqst succeed got blue tick mark fb profile day,1
4,this one irresistible coebzlvenm,1
5,we dont like keep lovely customer waiting long we hope enjoy happy friday lwwf cosmyyriipxi,1
6,on second thought there enough time dd but new short entering system sheep must buying,1
7,jgh go bayan bye,1
8,act mischievousness calling etl layer house warehousing app katamari well name implies,1
9,top influencers community week,1
10,who wouldnt love these big juicy selfies coqvzjgdufo coowbleqry,1
11,follow corcvcyyoiq follow back,1
12,perfect already know whats waiting,1
13,great new opportunity junior triathletes aged gatorade series get entry coofdyozml,1
14,laying greeting card range print today love job,1
15,friend lunch yummmm,1
16,id conflict thanks help here screenshot working,1
17,hi liv,1
18,hello need know something fm twitter sure thing dm cowdybv,1
19,top new follower community week,1
20,ive heard four season pretty dope penthouse obvs have fun yall,1
21,yeah suppose lol chat bit,1
22,hello get youth job opportunity follow,1
23,havent seen year,1
24,hope rest night go quickly bed got music fix time dream,1
25,spiritual ritual festival npal beginning line it left line see coqmnzoeuc,1
26,hey sarah send email bitsy com well help asap,1
27,my kik hatessuce cotnhjdyzf,1
28,come house,1
29,effective press release distribution result link removed,1
30,hi bam can follow bestfriend she love lot see warsaw love,1
31,everyone watch documentary earthling youtube,1
32,follow corcvcyyoiq follow back,1
33,top support community week,1
34,buuuuuuuut oh well,1
35,looking forward visiting next week jo,1
36,make feel better never see anyone kpop flesh,1
37,good girl best wish,1
38,great enough reason listen one epic soundtrack,1
39,thank shout have great friday,1
40,added video playlist coyzpfsmxuq im back twitch today going league,1
41,would love see dear waiting,1
42,oh okay thanks,1
43,like fake gameplays haha im kidding im kidding you good stuff,1
44,yeah exactly,1
45,our new product line shop check cohexctlqxg,1
46,hope vacation going great,1
47,rechargeable normally come charger buy,1
48,top engaged member community week,1
49,well shes asleep one talk sooo someone text,1
50,yes suppose bet hell blue fit hearing speech today pity,1
51,green garden midnight sun beautiful canal dasvidaniya till next visit,1
52,scouting sg future wlan pro conference asia,1
53,good better change lollipop,1
54,we nez cocgvimhsinz,1
55,follow please this big dream,1
56,mama reason stand stronger,1
57,follow corcvcyyoiq follow back,1
58,oh my god misty my baby is so cute,1
59,love blue cohnbinhes,1
60,woohoo cant wait have signed yet still thinking mka,1
61,liam access,1
62,stats day arrived new follower no unfollowers via copksiha,1
63,shouldnt surprised amazing figure,1
64,top influencers community week,1
65,wishing best beautiful sweet talented amazing cohumtctri,1
66,plan day drain great,1
67,got ta love timezones,1
68,parent proud lol least maybe sometimes get happy grade al cobjjegioogu,1
69,grande cogsaaxnpru,1
70,manilabro chosen follow twitter colkxzwxnfb thanks follow,1
71,sure let know youre around side world take care,1
72,top new follower community week,1
73,finally fucking weekend,1
74,hi bam can follow bestfriend she love lot see warsaw love,1
75,yes joined call gift got ta get covalveomdt,1
76,dm make night better,1
77,joined event might get text day luv cokgfgawdhy,1
78,would really appreciate share video around comhkbwopq,1
79,hello get youth job opportunity follow,1
80,oh wow that beautiful tom,1
81,love you cowxyrresv,1
82,added video playlist cohvvphsyaka im back twitch today going league,1
83,top support community week,1
84,follow corcvcyyoiq follow back,1
85,gym monday cant wait like,1
86,hey here invite join scope influencer corzgztqfjt,1
87,those friend know,1
88,waiting nude,1
89,go sleep,1
90,stats day arrived new follower no unfollowers via corbpmngmeo,1
91,my birthday week today,1
92,want youre shirt they cool,1
93,haw phela looking like mom obviously looking like,1
94,prince charming stage coonvfhztfz,1
95,really good luck,1
96,stats day arrived new follower no unfollowers via coxzsogaczk,1
97,top engaged member community week,1
98,tyler hipster glass,1
99,hey marty glad see twitter,1
100,hi joining today,1
101,done thanks,1
102,it already afternoon let read al kahfi day finish,1
103,ohmyg yaya dub im done stalk ig accnt gondooo moo tologooo haha,1
104,here invite become scope influencer detail coipjyoiget,1
105,top influencers community week,1
106,thanks zzz xx,1
107,physiotherapy friday hashtag today custom,1
108,know monica miss yeah sound good,1
109,good morning beautiful thats take,1
110,hi bam can follow bestfriend she love lot see warsaw love,1
111,oh yeah definitely going try tonight took advice we treviso,1
112,follow corcvcyyoiq follow back,1
113,hi would like concert let know city country ill start working thanks,1
114,fine have gorgeous friday friend xo cojmpkzpdai,1
115,oven roasted garlic olive oil sun dried tomato dried basil century tuna coesccqhlob,1
116,right back atchya have great day everyone,1
117,doesnt even follow back,1
118,the future almost corolezcl,1
119,top new follower community week,1
120,no chance,1
121,go po ice cream,1
122,hehehehe thats point,1
123,next time stay home,1
124,top support community week,1
125,soon promise,1
126,web whatsapp volta funcionar com iphone jailbroken,1
127,plan watching later min leia appears hologram rd message obi wan sits luke,1
128,inter ucl arsenal small team right,1
129,just passing dewsbury railway station dew dewsbury west yorkshire codvbsshbrfx,1
130,live scotland strange imagine megan xx,1
131,shweta tripathi,1
132,over kurta and mom half number,1
133,ah hello back larry coxhjjbjth,1
134,anyway friday looking kinda gooood,1
135,follow corcvcyyoiq follow back,1
136,lol well thats life thank god enn cogloceijgqq,1
137,surely could warmup morning coming th bath xx,1
138,dum dum andar ram sampath sona mohapatra samantha edward mein tulane razi razi wah thats josh coulmardfhm,1
139,always smile,1
140,thanks time right thats perfect timing,1
141,top engaged member community week,1
142,we already given gas subsidy long back initiative proposed feeling delighted done,1
143,missed yesterday,1
144,hi bam can follow bestfriend she love lot see warsaw love,1
145,lmaoo the best song ever we shall little throwback week,1
146,go outlying island cheung chau mui wo totally different,1
147,kitchen clean im totally amazed,1
148,follow corcvcyyoiq follow back,1
149,cusp testing water hope rewarding,1
150,top influencers community week,1
151,arummzz let go ill drive cosyysjeu,1
152,anyone wan na skype,1
153,may look bit real nice friendly girl,1
154,im like but pretend,1
